model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp,arm,n_train,seed,epochs,best_epoch,best_val_auc
b0_pretrained_n500_seed1,unsplash only,229,0.031,0.969,0.9563,0.4,0.8571,0.9595,0.5455,0.9614,213,9,1,6,b0_pretrained,500,1,120,60,0.9751529411764707
b0_pretrained_n1000_seed1,full test,476,0.334,0.666,0.8908,0.7716,0.956,0.858,0.8539,0.9735,272,45,7,152,b0_pretrained,1000,1,72,56,0.9795764705882353
b0_pretrained_n1000_seed1,source-matched (flickr),247,0.615,0.615,0.8421,0.8156,0.9605,0.6526,0.8822,0.9379,62,33,6,146,b0_pretrained,1000,1,72,56,0.9795764705882353
b0_pretrained_n1000_seed1,unsplash only,229,0.031,0.969,0.9432,0.3333,0.8571,0.9459,0.48,0.9607,210,12,1,6,b0_pretrained,1000,1,72,56,0.9795764705882353
b0_pretrained_n100_seed2,full test,476,0.334,0.666,0.792,0.6389,0.8679,0.7539,0.736,0.9245,239,78,21,138,b0_pretrained,100,2,120,93,0.9038117647058824
b0_pretrained_n100_seed2,source-matched (flickr),247,0.615,0.615,0.8057,0.821,0.875,0.6947,0.8471,0.9146,66,29,19,133,b0_pretrained,100,2,120,93,0.9038117647058824
b0_pretrained_n100_seed2,unsplash only,229,0.031,0.969,0.7773,0.0926,0.7143,0.7793,0.1639,0.8604,173,49,2,5,b0_pretrained,100,2,120,93,0.9038117647058824
b0_pretrained_n250_seed2,full test,476,0.334,0.666,0.8718,0.7917,0.8365,0.8896,0.8135,0.9572,282,35,26,133,b0_pretrained,250,2,120,76,0.9481882352941177
b0_pretrained_n250_seed2,source-matched (flickr),247,0.615,0.615,0.8178,0.8497,0.8553,0.7579,0.8525,0.9197,72,23,22,130,b0_pretrained,250,2,120,76,0.9481882352941177
b0_pretrained_n250_seed2,unsplash only,229,0.031,0.969,0.9301,0.2,0.4286,0.9459,0.2727,0.9086,210,12,4,3,b0_pretrained,250,2,120,76,0.9481882352941177
b0_pretrained_n500_seed2,full test,476,0.334,0.666,0.8845,0.7653,0.9434,0.8549,0.8451,0.9721,271,46,9,150,b0_pretrained,500,2,120,79,0.9754823529411765
b0_pretrained_n500_seed2,source-matched (flickr),247,0.615,0.615,0.8421,0.8192,0.9539,0.6632,0.8815,0.937,63,32,7,145,b0_pretrained,500,2,120,79,0.9754823529411765
b0_pretrained_n500_seed2,unsplash only,229,0.031,0.969,0.9301,0.2632,0.7143,0.9369,0.3846,0.9678,208,14,2,5,b0_pretrained,500,2,120,79,0.9754823529411765
b0_pretrained_n1000_seed2,full test,476,0.334,0.666,0.9097,0.8222,0.9308,0.8991,0.8732,0.975,285,32,11,148,b0_pretrained,1000,2,72,64,0.982
b0_pretrained_n1000_seed2,source-matched (flickr),247,0.615,0.615,0.8462,0.8353,0.9342,0.7053,0.882,0.9338,67,28,10,142,b0_pretrained,1000,2,72,64,0.982
b0_pretrained_n1000_seed2,unsplash only,229,0.031,0.969,0.9782,0.6,0.8571,0.982,0.7059,0.9891,218,4,1,6,b0_pretrained,1000,2,72,64,0.982
